City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
539,Constitucion,CL,73.0,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
541,Ravar,IR,51.48,broken clouds,31.2656,56.8055,computertik
542,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
543,Nabire,ID,75.74,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
545,Gelemso,ET,67.84,clear sky,8.8167,40.5167,Colele kebeber
546,Puerto Baquerizo Moreno,EC,75.22,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
548,Riyadh,SA,60.37,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
553,Charters Towers,AU,73.9,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
557,Cairns,AU,78.75,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
561,Ormara,PK,71.56,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
562,Katobu,ID,75.02,overcast clouds,-4.9408,122.5276,La Ode Husein
565,Farafangana,MG,76.59,few clouds,-22.8167,47.8333,Miarina
571,Luang Prabang,LA,69.01,broken clouds,19.8856,102.1347,The Apsara
574,Asheboro,US,64.49,clear sky,35.7079,-79.8136,Hampton Inn Asheboro
579,Itarana,BR,75.34,heavy intensity rain,-19.8739,-40.8753,Hotel Aline
584,Tucurui,BR,74.21,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
587,Fairview,US,58.59,clear sky,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
588,Kibondo,TZ,64.9,light rain,-3.5864,30.7203,Pongezi Annex Guest House
589,Paka,MY,77.23,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
593,Plainview,US,57.81,clear sky,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
597,Waihi Beach,NZ,75.11,overcast clouds,-37.4,175.9333,Brass Bell Bed & Breakfast
599,Bambanglipuro,ID,62.6,heavy intensity rain,-7.95,110.2833,Puri Brata
602,Valdivia,CL,69.89,broken clouds,-39.8142,-73.2459,Hostal Entre Rios
605,Suez,EG,63.16,clear sky,29.9737,32.5263,Green House
608,Amuntai,ID,74.66,overcast clouds,-2.4177,115.2494,Hotel Balqis
610,Richards Bay,ZA,79.81,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
618,Ondjiva,AO,77.34,light rain,-17.0667,15.7333,COMBUESA
619,Bo Phloi,TH,78.06,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
622,Lata,PT,60.71,overcast clouds,40.1629,-8.3327,Casa Maquia
626,Sambava,MG,77.29,moderate rain,-14.2667,50.1667,Melrose
627,Puerto Del Rosario,ES,69.55,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
629,La Palma,US,77.02,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
630,Quatre Cocos,MU,79.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
633,Tabas,IR,57.27,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
636,Pemangkat,ID,76.5,overcast clouds,1.1667,108.9667,Ramah Kost KITA
639,Solwezi,ZM,67.69,light rain,-12.1688,26.3894,Country Lodge Solwezi
642,Qadirpur Ran,PK,64.29,clear sky,30.2924,71.6712,Govt Guest House
643,Gondar,ET,70.21,overcast clouds,12.6,37.4667,L Shape Hotel
645,Sumter,US,78.19,scattered clouds,28.7086,-82.0831,Paradise Oaks RV Resort
648,Jimma,ET,69.91,overcast clouds,7.6667,36.8333,Jimma Central Hotel - ጂማ ሴንትራል ሆቴል
654,Rosarito,MX,73.31,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
655,Biak,ID,75.24,overcast clouds,-0.9131,122.8766,Penginapan Kim
657,Luena,AO,68.14,overcast clouds,-11.7833,19.9167,Hotel Kandamba
658,Monaragala,LK,75.72,broken clouds,6.8714,81.3487,Silanrich Hotel
662,Najran,SA,73.96,clear sky,17.4924,44.1277,محمد هادي ال فطيح
663,Pamantingan,PH,71.6,overcast clouds,6.7044,124.4589,Marguez Hot and Cold Spring Resort
664,Comal,US,54.41,broken clouds,29.8169,-98.3003,Creek Hollow Cabins & RV Park
666,Saint-Denis,FR,51.15,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
668,Yaval,IN,71.98,clear sky,21.1667,75.7,Swapnil Chaudhari Home
672,Badarpur,IN,58.73,clear sky,24.9,92.6,Rejauls home
673,Ambilobe,MG,74.3,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
675,Yeppoon,AU,73.18,scattered clouds,-23.1333,150.7333,Villa Mar Colina
678,Finschhafen,PG,79.65,overcast clouds,-6.6024,147.8681,Cossam Guest House
680,South Venice,US,78.84,haze,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
